CreditScore,AppliedLoanAmount,Purpose,ProposedInterestRate,ProposedLoanAmount,ProposedLoanTerm
762,54000,Home Renovation,3.32,48000,72
694,10000,Green Initiatives,6.01,8000,24
775,37000,Community Projects,3.08,32000,24
708,52000,Social Enterprise,4.5,45000,12
782,17000,Utility Payments,2.59,15000,24
848,52000,Working Capital,2.77,46000,36
737,47000,Education Fees,4.43,40000,72
741,15000,Agriculture Expenses,4.85,12000,48
669,23000,Community Projects,6.83,20000,12
670,94000,Business Expansion,5.89,84000,60
788,99000,Business Expansion,3.53,93000,60
768,76000,Education Fees,3.05,72000,72
712,14000,Travel Costs,5.07,11000,48
769,47000,Vehicle for Business Use,2.56,41000,72
661,59000,Childcare Expenses,5.49,55000,48
815,23000,Business Expansion,2.46,20000,48
844,73000,Home Renovation,3.28,62000,48
662,93000,Emergency Business Funds,5.49,79000,12
753,53000,Inventory Purchase,2.99,48000,24
845,54000,Healthcare Expenses,3.17,50000,60
749,36000,Equipment Purchase,5.33,31000,12
695,49000,Startup Capital,6.04,40000,24
728,82000,Debt Consolidation,4.24,72000,60
688,23000,Emergency Business Funds,6.76,21000,36
806,77000,Inventory Purchase,3.54,63000,24
648,63000,Wedding Expenses,8.6,62000,48
847,53000,Marketing and Advertising,3.3,43000,12
817,86000,Startup Capital,3.88,77000,24
780,49000,Education Fees,3.26,42000,72
718,34000,Equipment Purchase,4.87,27000,12
676,63000,Social Enterprise,6.0,59000,12
601,32000,Startup Capital,7.18,27000,12
673,7000,Social Enterprise,6.66,6000,12
648,65000,Marketing and Advertising,8.68,59000,24
700,47000,Emergency Personal Funds,4.85,46000,48
678,24000,Training and Development,6.6,20000,12
833,76000,Home Renovation,2.82,69000,72
639,24000,Training and Development,8.63,19000,12
688,25000,Marketing and Advertising,5.8,23000,24
637,87000,Utility Payments,7.69,83000,36
713,52000,Working Capital,5.31,42000,12
602,86000,Business Expansion,7.31,80000,60
785,65000,Inventory Purchase,3.51,55000,12
680,12000,Inventory Purchase,5.64,11000,36
732,71000,Home Renovation,4.61,59000,48
797,64000,Technology Upgrade,3.56,58000,12
742,58000,Emergency Business Funds,4.31,50000,24
697,81000,Debt Consolidation,6.42,68000,72
728,66000,Business Expansion,5.21,59000,48
755,11000,Home Renovation,3.65,9000,72
756,98000,Debt Consolidation,2.54,78000,60
772,89000,Healthcare Expenses,3.87,80000,60
792,33000,Startup Capital,3.39,30000,36
810,72000,Working Capital,3.65,65000,12
792,60000,Equipment Purchase,3.21,53000,24
662,86000,Emergency Personal Funds,6.09,69000,60
