,loan_amnt,loan_intent,loan_int_rate,credit_score,loan_term
0,35000,PERSONAL,16.02,561,26
1,1000,EDUCATION,0.0,504,51
2,5500,MEDICAL,12.87,635,48
3,35000,MEDICAL,15.23,675,18
4,35000,MEDICAL,14.27,586,40
5,2500,VENTURE,7.14,532,31
6,35000,EDUCATION,12.42,701,66
7,35000,MEDICAL,11.11,585,25
8,35000,PERSONAL,8.9,544,20
9,1600,VENTURE,14.74,640,36
10,35000,VENTURE,10.37,621,32
11,4500,HOMEIMPROVEMENT,8.63,651,58
12,35000,VENTURE,7.9,573,48
13,35000,EDUCATION,18.39,708,54
14,35000,EDUCATION,0.0,583,114
15,30000,DEBTCONSOLIDATION,0.0,670,56
16,35000,EDUCATION,0.0,663,119
17,35000,MEDICAL,20.0,694,39
18,35000,DEBTCONSOLIDATION,18.25,709,17
19,1750,EDUCATION,10.99,679,107
20,35000,VENTURE,0.0,684,29
21,34800,PERSONAL,0.0,662,55
22,34000,EDUCATION,17.58,691,55
23,1500,PERSONAL,0.0,600,23
24,33950,PERSONAL,14.54,691,54
25,33000,HOMEIMPROVEMENT,12.68,654,60
26,4575,VENTURE,17.74,626,42
27,1400,PERSONAL,0.0,607,44
28,32500,HOMEIMPROVEMENT,9.99,700,31
29,4000,EDUCATION,12.84,553,107
30,2000,MEDICAL,11.12,589,16
31,32000,VENTURE,0.0,586,30
32,31050,HOMEIMPROVEMENT,14.17,681,50
33,24250,DEBTCONSOLIDATION,0.0,567,29
34,7800,MEDICAL,0.0,669,22
35,2500,EDUCATION,7.51,600,115
36,30000,EDUCATION,18.39,606,72
37,30000,DEBTCONSOLIDATION,14.54,582,52
38,30000,HOMEIMPROVEMENT,16.89,649,31
39,30000,DEBTCONSOLIDATION,11.01,602,46
40,30000,MEDICAL,17.99,616,23
41,2500,VENTURE,12.69,631,59
42,20000,VENTURE,0.0,684,50
43,24250,EDUCATION,0.0,637,104
44,10000,HOMEIMPROVEMENT,0.0,649,42
45,25000,EDUCATION,0.0,695,98
46,18000,HOMEIMPROVEMENT,0.0,620,47
47,30000,PERSONAL,7.49,622,40
48,30000,MEDICAL,12.69,645,16
49,30000,DEBTCONSOLIDATION,6.62,654,26
50,30000,DEBTCONSOLIDATION,11.01,624,48
51,30000,DEBTCONSOLIDATION,18.62,570,46
52,30000,PERSONAL,15.23,648,13
53,30000,VENTURE,10.65,652,40
54,30000,EDUCATION,0.0,559,83
55,10000,PERSONAL,0.0,623,59
56,20000,VENTURE,0.0,602,50
57,35000,PERSONAL,0.0,609,41
58,30000,PERSONAL,0.0,573,25
59,1750,VENTURE,0.0,631,26
60,30000,VENTURE,0.0,623,31
61,12000,VENTURE,0.0,602,24
62,10000,EDUCATION,11.01,579,61
63,25000,MEDICAL,15.7,582,41
64,29100,EDUCATION,15.99,700,94
65,1500,EDUCATION,0.0,688,119
66,28000,HOMEIMPROVEMENT,0.0,607,29
67,20000,HOMEIMPROVEMENT,0.0,661,43
68,9600,EDUCATION,0.0,562,78
69,25000,MEDICAL,0.0,664,48
70,3000,MEDICAL,11.01,564,12
71,28000,MEDICAL,11.01,598,18
72,3000,EDUCATION,13.61,557,55
73,28000,EDUCATION,7.9,677,61
74,28000,VENTURE,7.49,690,50
75,6100,EDUCATION,7.51,599,62
76,28000,VENTURE,9.91,604,59
77,4200,PERSONAL,13.48,663,34
78,4750,DEBTCONSOLIDATION,7.14,601,35
79,28000,VENTURE,15.99,634,42
80,18000,EDUCATION,0.0,671,45
81,4800,VENTURE,0.0,789,42
82,28000,DEBTCONSOLIDATION,0.0,622,16
83,28000,EDUCATION,0.0,538,48
84,2700,DEBTCONSOLIDATION,11.01,587,16
85,28000,EDUCATION,11.01,683,118
86,28000,DEBTCONSOLIDATION,0.0,634,12
87,27600,HOMEIMPROVEMENT,11.01,690,58
88,3250,DEBTCONSOLIDATION,15.68,518,53
89,27500,EDUCATION,13.06,583,76
90,25000,PERSONAL,0.0,617,32
91,27050,VENTURE,15.62,668,32
92,27000,PERSONAL,13.49,673,15
93,27000,VENTURE,11.01,706,32
94,26000,MEDICAL,11.71,536,18
95,25600,EDUCATION,0.0,557,55
96,1600,MEDICAL,0.0,689,18
97,25475,VENTURE,10.99,681,41
98,20000,MEDICAL,0.0,623,24
99,20000,HOMEIMPROVEMENT,0.0,595,47
100,21600,HOMEIMPROVEMENT,0.0,584,50
101,11900,DEBTCONSOLIDATION,14.42,669,30
102,25000,MEDICAL,0.0,642,46
103,35000,MEDICAL,0.0,622,30
104,25300,EDUCATION,10.99,689,65
105,2000,PERSONAL,5.42,614,46
106,1750,PERSONAL,0.0,597,21
107,25000,EDUCATION,12.73,673,78
108,25000,HOMEIMPROVEMENT,11.01,625,27
109,3000,DEBTCONSOLIDATION,12.87,603,22
110,3650,HOMEIMPROVEMENT,9.91,589,51
111,20000,HOMEIMPROVEMENT,0.0,670,49
112,30000,HOMEIMPROVEMENT,0.0,637,40
113,35000,EDUCATION,10.65,643,82
114,6000,MEDICAL,0.0,508,30
115,4500,DEBTCONSOLIDATION,11.83,643,18
116,2400,DEBTCONSOLIDATION,13.49,505,13
117,25000,MEDICAL,14.59,593,24
118,25000,EDUCATION,9.64,686,59
119,3600,MEDICAL,14.59,646,37
120,4750,EDUCATION,11.01,645,52
121,25000,EDUCATION,16.35,697,56
122,25000,EDUCATION,10.99,648,38
123,25000,VENTURE,0.0,640,41
124,3000,EDUCATION,0.0,681,94
125,7500,DEBTCONSOLIDATION,0.0,646,56
126,25000,VENTURE,0.0,615,57
127,25000,PERSONAL,11.83,687,35
128,25000,DEBTCONSOLIDATION,7.9,650,24
129,25000,HOMEIMPROVEMENT,5.99,588,51
130,25000,DEBTCONSOLIDATION,15.33,652,56
131,25000,VENTURE,11.83,658,53
132,25000,VENTURE,10.36,634,48
133,25000,VENTURE,12.23,623,40
134,25000,EDUCATION,11.11,635,95
135,4950,DEBTCONSOLIDATION,7.9,531,13
136,25000,EDUCATION,0.0,665,76
137,21000,DEBTCONSOLIDATION,0.0,703,35
138,25000,EDUCATION,0.0,585,55
139,20000,EDUCATION,0.0,594,52
140,35000,MEDICAL,0.0,618,25
141,12000,EDUCATION,0.0,626,41
142,25000,PERSONAL,13.22,695,48
143,25000,DEBTCONSOLIDATION,11.86,690,52
144,25000,EDUCATION,13.43,574,68
145,25000,HOMEIMPROVEMENT,15.28,602,47
146,25000,VENTURE,17.93,679,38
147,1400,EDUCATION,0.0,615,48
148,4500,VENTURE,12.98,601,32
149,16000,VENTURE,0.0,577,31
150,22000,PERSONAL,0.0,588,14
151,25000,VENTURE,18.43,595,55
152,25000,EDUCATION,11.01,653,71
153,25000,HOMEIMPROVEMENT,11.01,663,49
154,25000,EDUCATION,11.36,653,94
155,25000,EDUCATION,15.65,598,96
156,25000,PERSONAL,13.22,630,59
157,25000,DEBTCONSOLIDATION,12.87,637,48
158,20000,MEDICAL,0.0,660,44
159,22000,EDUCATION,17.58,639,56
160,7750,PERSONAL,17.04,626,30
161,25000,PERSONAL,10.99,612,38
162,25000,PERSONAL,11.11,628,26
163,25000,DEBTCONSOLIDATION,14.83,592,35
164,4000,DEBTCONSOLIDATION,11.01,580,40
165,12000,MEDICAL,0.0,634,14
166,12000,HOMEIMPROVEMENT,0.0,678,33
167,16000,EDUCATION,0.0,557,101
168,25000,HOMEIMPROVEMENT,16.82,672,32
169,25000,PERSONAL,12.73,613,43
170,25000,PERSONAL,10.25,566,51
171,25000,EDUCATION,10.99,718,37
172,25000,MEDICAL,12.73,484,46
173,25000,HOMEIMPROVEMENT,14.96,634,34
174,28000,EDUCATION,0.0,653,101
175,25000,DEBTCONSOLIDATION,0.0,699,35
176,24000,VENTURE,0.0,656,57
177,15000,EDUCATION,0.0,626,106
178,15500,DEBTCONSOLIDATION,0.0,659,23
179,10000,EDUCATION,0.0,604,79
180,25000,EDUCATION,9.91,636,96
181,25000,EDUCATION,13.06,554,67
182,9000,DEBTCONSOLIDATION,0.0,587,20
183,6000,EDUCATION,0.0,807,107
184,18000,EDUCATION,0.0,708,39
185,12000,VENTURE,0.0,669,45
186,23050,PERSONAL,0.0,578,24
187,20000,DEBTCONSOLIDATION,0.0,615,48
188,25000,DEBTCONSOLIDATION,11.01,553,52
189,3000,HOMEIMPROVEMENT,11.01,635,42
190,25000,PERSONAL,15.21,531,12
191,25000,EDUCATION,7.9,621,39
192,25000,VENTURE,10.99,674,55
193,25000,PERSONAL,14.09,688,46
194,25000,PERSONAL,17.49,597,49
195,12000,EDUCATION,0.0,640,47
196,20000,VENTURE,17.74,621,24
197,3000,PERSONAL,0.0,608,38
198,25000,EDUCATION,15.21,653,113
199,4000,MEDICAL,10.99,585,31
200,25000,EDUCATION,11.86,569,103
201,6000,PERSONAL,7.49,587,23
202,25000,MEDICAL,16.49,631,21
203,25000,VENTURE,15.33,592,32
204,25000,HOMEIMPROVEMENT,11.58,679,42
205,5375,EDUCATION,5.79,645,91
206,25000,MEDICAL,13.11,669,14
207,25000,MEDICAL,10.36,653,32
208,25000,DEBTCONSOLIDATION,10.36,577,26
209,22000,MEDICAL,0.0,668,28
210,20000,VENTURE,0.0,629,53
211,10000,MEDICAL,0.0,643,24
212,15000,PERSONAL,0.0,626,50
213,10000,VENTURE,0.0,560,40
214,25000,EDUCATION,10.25,648,59
215,25000,EDUCATION,15.95,648,82
216,20000,VENTURE,0.0,669,32
217,24000,PERSONAL,0.0,536,37
218,25000,DEBTCONSOLIDATION,11.01,548,29
219,25000,VENTURE,10.62,667,55
220,25000,VENTURE,10.74,676,60
221,10000,VENTURE,0.0,570,40
222,35000,EDUCATION,0.0,623,80
223,15000,VENTURE,0.0,652,35
224,25000,MEDICAL,15.33,625,23
