CreditScore,AppliedLoanAmount,Purpose,ProposedInterestRate,ProposedLoanAmount,ProposedLoanTerm
666,18000,Startup Capital,6.43,16000,24
725,37000,Education Fees,5.02,31000,60
703,11000,Marketing and Advertising,4.85,9000,24
658,97000,Education Fees,6.17,92000,48
605,73000,Debt Consolidation,7.13,64000,48
823,78000,Marketing and Advertising,3.45,76000,24
685,28000,Equipment Purchase,5.62,24000,12
647,83000,Vehicle for Business Use,7.02,73000,48
810,27000,Training and Development,3.47,25000,12
625,14000,Childcare Expenses,8.55,12000,72
725,20000,Inventory Purchase,4.41,16000,36
820,53000,Vehicle for Business Use,3.37,44000,60
633,67000,Business Expansion,7.93,66000,72
653,64000,Wedding Expenses,6.51,56000,48
753,25000,Healthcare Expenses,3.43,24000,60
624,60000,Inventory Purchase,8.31,55000,36
727,21000,Travel Costs,4.24,20000,48
637,62000,Equipment Purchase,8.11,56000,24
658,19000,Marketing and Advertising,6.56,16000,36
629,68000,Vehicle for Business Use,7.9,56000,60
725,62000,Home Renovation,4.07,57000,48
671,66000,Inventory Purchase,5.84,57000,36
730,73000,Wedding Expenses,5.41,62000,48
625,89000,Marketing and Advertising,8.36,83000,12
737,27000,Inventory Purchase,5.06,24000,24
604,39000,Emergency Business Funds,7.22,32000,12
828,61000,Agriculture Expenses,2.52,60000,60
641,64000,Healthcare Expenses,8.34,62000,72
608,25000,Green Initiatives,8.04,21000,36
821,11000,Marketing and Advertising,3.34,10000,36
698,53000,Education Fees,6.66,48000,48
653,83000,Wedding Expenses,6.08,79000,48
607,52000,Inventory Purchase,8.06,45000,24
850,11000,Marketing and Advertising,2.46,8000,24
646,95000,Childcare Expenses,7.5,77000,48
618,46000,Technology Upgrade,7.58,43000,12
818,42000,Healthcare Expenses,3.14,37000,72
628,64000,Travel Costs,7.79,52000,48
790,16000,Training and Development,3.61,13000,12
839,99000,Agriculture Expenses,2.94,83000,48
650,81000,Debt Consolidation,6.41,64000,72
792,69000,Education Fees,3.78,65000,60
662,58000,Community Projects,6.94,51000,36
712,14000,Emergency Personal Funds,4.48,13000,72
729,19000,Marketing and Advertising,4.64,16000,24
804,84000,Green Initiatives,3.09,68000,12
750,21000,Education Fees,3.78,20000,60
757,53000,Social Enterprise,3.22,46000,36
657,70000,Community Projects,6.49,59000,12
779,46000,Social Enterprise,3.15,41000,36
789,65000,Agriculture Expenses,3.39,62000,48
683,84000,Business Expansion,5.94,81000,48
700,99000,Business Expansion,4.86,89000,48
639,96000,Green Initiatives,7.09,85000,24
822,97000,Education Fees,3.86,81000,48
850,90000,Technology Upgrade,3.17,81000,36
681,99000,Community Projects,6.22,94000,36
605,40000,Equipment Purchase,7.43,39000,12
828,96000,Equipment Purchase,2.91,90000,24
662,91000,Vehicle for Business Use,7.0,84000,60
632,54000,Education Fees,7.1,51000,72
634,11000,Childcare Expenses,7.75,10000,60
840,34000,Social Enterprise,3.7,32000,12
779,34000,Wedding Expenses,2.86,31000,48
